Sampling,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Kappa,MCC
Baseline,KNN,0.8936635105608157,0.5524193548387096,0.2952586206896552,0.3848314606741573,0.7399259693853484,0.33244554100816104,0.3520704788096873
Baseline,Decision_Tree,0.9021607186210245,0.6804733727810651,0.2478448275862069,0.36334913112164297,0.7907963671635454,0.32260339237582614,0.37149089500608873
SMOTE,Random_Forest,0.8691429958727847,0.44085173501577285,0.6023706896551724,0.5091074681238615,0.8027558051087316,0.43569749206341135,0.4427666892374526
SMOTE,Logistic_Regression,0.8193736343772761,0.3300970873786408,0.5862068965517241,0.422360248447205,0.7626003142836926,0.3250812667929348,0.34393881955666233
ADASYN,Random_Forest,0.8638018936635106,0.4264036418816389,0.6056034482758621,0.5004452359750667,0.7987134564130385,0.4243373022743664,0.43309616922065775
ADASYN,Decision_Tree,0.8362466618111192,0.3653230966090851,0.615301724137931,0.45845042151746285,0.772080198358413,0.36929022987037974,0.38672673837719196
