Metric,RF_Mean,DT_Mean,Statistic,P_Value,Result
accuracy,0.8628528072837632,0.8145675265553869,1.0,0.125,Not Significant
precision,0.41974250298503896,0.33723681176787124,1.0,0.125,Not Significant
recall,0.5681570670371808,0.591850986566444,4.0,0.4375,Not Significant
f1,0.482770490085833,0.42367854828144635,0.0,0.0625,Not Significant
roc_auc,0.7821165985011322,0.7415303357526983,0.0,0.0625,Not Significant
kappa,0.4057721102888657,0.3261093803746954,0.0,0.0625,Not Significant
mcc,0.41197265236481756,0.34702253881979017,0.0,0.0625,Not Significant
